iter	Passed	Remaining
0	113	136242
1	128	76715
2	142	56762
3	157	47218
4	171	41083
5	188	37559
6	202	34561
7	218	32507
8	231	30683
9	247	29413
10	262	28356
11	276	27418
12	292	26670
13	307	26040
14	322	25444
15	337	24963
16	352	24507
17	367	24107
18	381	23701
19	394	23295
20	409	22996
21	424	22719
22	439	22491
23	454	22293
24	468	22008
25	484	21863
26	499	21684
27	514	21530
28	528	21342
29	542	21173
30	558	21077
31	572	20913
32	586	20744
33	601	20617
34	616	20509
35	632	20453
36	646	20323
37	661	20224
38	676	20133
39	690	20036
40	706	19966
41	720	19854
42	736	19829
43	752	19779
44	766	19682
45	782	19635
46	797	19574
47	814	19541
48	829	19482
49	844	19432
50	860	19379
51	875	19320
52	890	19275
53	905	19212
54	922	19203
55	937	19149
56	954	19136
57	969	19089
58	985	19049
59	1000	19003
60	1016	18980
61	1032	18945
62	1048	18918
63	1064	18887
64	1079	18847
65	1095	18830
66	1110	18786
67	1125	18737
68	1142	18725
69	1157	18692
70	1173	18653
71	1188	18624
72	1204	18591
73	1219	18552
74	1235	18527
75	1251	18502
76	1266	18470
77	1281	18430
78	1295	18382
79	1310	18347
80	1324	18303
81	1339	18265
82	1355	18236
83	1369	18199
84	1384	18157
85	1398	18114
86	1411	18063
87	1425	18010
88	1439	17967
89	1453	17923
90	1468	17892
91	1482	17851
92	1497	17819
93	1511	17785
94	1526	17757
95	1541	17726
96	1555	17692
97	1570	17655
98	1585	17628
99	1598	17579
100	1611	17533
101	1625	17498
102	1639	17462
103	1652	17419
104	1666	17383
105	1681	17351
106	1696	17329
107	1710	17297
108	1726	17281
109	1742	17270
110	1757	17241
111	1770	17196
112	1783	17158
113	1801	17157
114	1815	17129
115	1829	17098
116	1843	17060
117	1856	17021
118	1869	16986
119	1884	16960
120	1898	16929
121	1913	16905
122	1926	16872
123	1940	16837
124	1954	16805
125	1966	16763
126	1979	16725
127	1993	16697
128	2006	16659
129	2020	16634
130	2034	16605
131	2048	16572
132	2064	16560
133	2077	16528
134	2090	16495
135	2104	16468
136	2118	16437
137	2131	16406
138	2146	16381
139	2159	16352
140	2173	16324
141	2187	16299
142	2202	16277
143	2216	16257
144	2230	16229
145	2244	16202
146	2257	16174
147	2272	16150
148	2286	16125
149	2299	16094
150	2313	16070
151	2327	16049
152	2340	16019
153	2354	15991
154	2367	15964
155	2381	15938
156	2394	15909
157	2407	15877
158	2422	15857
159	2436	15834
160	2451	15819
161	2464	15793
162	2480	15781
163	2493	15752
164	2506	15722
165	2520	15698
166	2534	15676
167	2547	15646
168	2561	15625
169	2577	15614
170	2590	15590
171	2605	15572
172	2620	15555
173	2633	15530
174	2647	15506
175	2660	15481
176	2674	15455
177	2687	15429
178	2701	15411
179	2717	15400
180	2735	15397
181	2749	15381
182	2761	15349
183	2776	15328
184	2788	15300
185	2801	15274
186	2816	15256
187	2830	15234
188	2844	15213
189	2858	15194
190	2872	15176
191	2886	15155
192	2900	15132
193	2915	15117
194	2929	15097
195	2942	15074
196	2957	15055
197	2971	15036
198	2984	15014
199	2998	14991
200	3012	14971
201	3027	14957
202	3041	14936
203	3054	14915
204	3068	14891
205	3082	14873
206	3096	14854
207	3109	14829
208	3124	14815
209	3139	14798
210	3151	14771
211	3164	14750
212	3178	14727
213	3191	14704
214	3207	14693
215	3221	14674
216	3234	14652
217	3248	14633
218	3262	14615
219	3275	14589
220	3289	14572
221	3303	14551
222	3316	14531
223	3329	14506
224	3343	14489
225	3356	14466
226	3370	14448
227	3383	14424
228	3396	14403
229	3410	14382
230	3424	14363
231	3438	14346
232	3453	14332
233	3466	14309
234	3479	14288
235	3492	14265
236	3506	14248
237	3520	14231
238	3534	14210
239	3547	14189
240	3560	14168
241	3574	14149
242	3587	14128
243	3601	14109
244	3614	14090
245	3628	14070
246	3641	14051
247	3654	14030
248	3667	14008
249	3681	13988
250	3694	13968
251	3709	13956
252	3726	13947
253	3739	13928
254	3753	13910
255	3768	13895
256	3781	13875
257	3794	13855
258	3808	13835
259	3822	13820
260	3835	13799
261	3850	13785
262	3864	13767
263	3877	13747
264	3891	13728
265	3905	13711
266	3918	13692
267	3932	13675
268	3945	13655
269	3959	13637
270	3972	13619
271	3987	13605
272	4001	13587
273	4015	13571
274	4029	13553
275	4042	13532
276	4055	13514
277	4068	13494
278	4082	13475
279	4096	13459
280	4109	13440
281	4124	13425
282	4138	13410
283	4152	13393
284	4166	13375
285	4178	13355
286	4191	13332
287	4204	13314
288	4219	13299
289	4232	13282
290	4246	13263
291	4259	13245
292	4273	13230
293	4287	13213
294	4301	13197
295	4315	13178
296	4328	13160
297	4341	13141
298	4355	13123
299	4370	13110
300	4383	13093
301	4397	13074
302	4411	13058
303	4423	13037
304	4435	13016
305	4450	13003
306	4464	12986
307	4477	12966
308	4491	12950
309	4504	12933
310	4519	12918
311	4533	12903
312	4547	12887
313	4561	12870
314	4574	12853
315	4589	12838
316	4601	12818
317	4616	12805
318	4629	12785
319	4642	12766
320	4656	12749
321	4670	12734
322	4684	12718
323	4700	12709
324	4716	12698
325	4729	12679
326	4744	12665
327	4758	12650
328	4772	12633
329	4786	12619
330	4799	12601
331	4813	12583
332	4826	12567
333	4840	12551
334	4854	12535
335	4869	12521
336	4882	12502
337	4894	12483
338	4907	12464
339	4922	12449
340	4936	12435
341	4950	12418
342	4963	12401
343	4976	12382
344	4990	12367
345	5003	12348
346	5016	12332
347	5031	12318
348	5044	12299
349	5057	12282
350	5070	12264
351	5084	12248
352	5098	12233
353	5111	12215
354	5124	12196
355	5136	12178
356	5149	12160
357	5161	12140
358	5173	12119
359	5185	12100
360	5199	12084
361	5213	12069
362	5227	12054
363	5241	12038
364	5253	12019
365	5267	12002
366	5280	11985
367	5294	11969
368	5307	11952
369	5321	11936
370	5333	11918
371	5347	11902
372	5361	11886
373	5373	11868
374	5386	11851
375	5399	11833
376	5413	11816
377	5426	11799
378	5440	11784
379	5453	11768
380	5467	11752
381	5480	11735
382	5494	11721
383	5507	11704
384	5521	11688
385	5533	11669
386	5545	11650
387	5558	11631
388	5570	11613
389	5584	11598
390	5598	11583
391	5611	11567
392	5625	11551
393	5639	11535
394	5653	11521
395	5667	11507
396	5682	11493
397	5697	11481
398	5712	11467
399	5726	11452
400	5739	11435
401	5753	11420
402	5765	11401
403	5779	11387
404	5793	11372
405	5807	11357
406	5821	11342
407	5834	11326
408	5847	11308
409	5859	11291
410	5873	11275
411	5887	11260
412	5899	11241
413	5914	11228
414	5927	11212
415	5940	11194
416	5952	11177
417	5965	11161
418	5978	11143
419	5992	11128
420	6005	11112
421	6018	11096
422	6033	11082
423	6046	11066
424	6059	11050
425	6073	11035
426	6088	11021
427	6102	11008
428	6116	10992
429	6129	10976
430	6143	10962
431	6158	10947
432	6171	10931
433	6183	10914
434	6197	10899
435	6210	10883
436	6222	10864
437	6235	10847
438	6247	10830
439	6261	10815
440	6275	10801
441	6288	10784
442	6302	10769
443	6316	10755
444	6329	10739
445	6345	10727
446	6358	10711
447	6373	10697
448	6386	10682
449	6399	10666
450	6412	10649
451	6426	10635
452	6441	10621
453	6454	10605
454	6468	10591
455	6482	10576
456	6497	10563
457	6510	10548
458	6523	10531
459	6537	10517
460	6551	10502
461	6565	10486
462	6578	10472
463	6592	10456
464	6605	10441
465	6618	10424
466	6632	10409
467	6645	10393
468	6658	10377
469	6672	10363
